"Filename",PS-PS_neg_53.mzML,CG-C13_neg_52.mzML,MI-B14_neg_49.mzML,CG-C22_neg_50.mzML,MI-B24_neg_47.mzML,QC_neg_45.mzML,MI-ML_neg_48.mzML,QC_neg_56.mzML,QC_neg_51.mzML,PB_neg_42.mzML,CG-CG_neg_55.mzML,ASP-ASP_neg_54.mzML,QC_neg_46.mzML
5053/334.9963mz/4.76min,14389.62890625,13170.228515625,13009.9365234375,,12840.107421875,14026.9482421875,,13267.880859375,13214.1845703125,13063.46875,14047.3115234375,13297.6328125,12929.1298828125
5057/451.0063mz/4.76min,11884.224609375,11159.4638671875,12933.6337890625,12673.8544921875,12098.26171875,12303.84375,13039.7216796875,12294.4931640625,,12619.08984375,13404.0576171875,12891.6083984375,12614.9638671875
5063/955.4902mz/4.76min,,8945.328125,,14507.2470703125,,19763.408203125,,18593.849609375,20200.853515625,,118257.890625,,19123.232421875
5066/352.9979mz/4.76min,13169.1611328125,15239.0185546875,,13829.423828125,13629.9453125,,14505.4501953125,12893.7607421875,14123.2294921875,14224.591796875,13612.7421875,14566.03515625,14307.3349609375
5074/350.9929mz/4.77min,28254.142578125,26796.4375,27347.1875,30220.775390625,25630.583984375,27870.69140625,29058.044921875,27883.01953125,26358.796875,27929.9921875,31315.0859375,27985.54296875,28826.443359375
5081/405.0023mz/4.78min,,13780.880859375,14501.57421875,15222.6611328125,12638.93359375,13659.5302734375,13331.3037109375,14936.0439453125,15559.6767578125,,14977.9375,13050.23046875,14196.2431640625
5082/423.0053mz/4.78min,22825.27734375,24565.93359375,23076.349609375,23620.603515625,22936.04296875,22539.37890625,22122.140625,21537.931640625,23311.255859375,22539.212890625,26792.8359375,21616.28515625,22483.421875
5084/331.2488mz/4.78min,21707.8203125,17714.466796875,21028.640625,17885.3359375,19285.251953125,17064.685546875,19704.185546875,20034.4140625,20073.158203125,16599.728515625,19518.33203125,17759.765625,16896.751953125
5085/330.9858mz/4.78min,29067.54296875,27038.99609375,27253.091796875,29042.728515625,26531.650390625,26650.443359375,30820.705078125,26572.03515625,30468.01171875,29332.482421875,29424.525390625,29825.185546875,27295.013671875
5086/376.9931mz/4.78min,,27130.869140625,25877.359375,24194.140625,26156.65625,25892.857421875,24853.62109375,26008.046875,25753.7109375,25927.1640625,26466.01953125,24795.47265625,25714.291015625
